WKT,name,description,image_url,source_text,source_url
"POINT (13.3463965 52.5132622)",Berlin Zoo,The Berlin Zoo hosts the oldest panda.,https://www.zoo-berlin.de/fileadmin/user_upload/Header_Pandagarden.jpg,Zoo Berlin,https://www.zoo-berlin.de/en/animals/panda-garden
"POINT (1.35309 47.2476534)",ZooParc de Beauval,This is another zoo.,https://cdn-images.zoobeauval.com/YtejtULyRFVxqrrTGTEYM22WZ7Q=/2400x1425/https%3A%2F%2Fs3.eu-west-3.amazonaws.com%2Fimages.zoobeauval.com%2F2020%2F06%2Fparrainage-1-5ee0ed7869fbf.jpg,ZooParc de Beauval,https://www.zoobeauval.com/en/zooparc/animals/giant-panda
